"Date","home.team","away.team","home.score","away.score"
2018-04-19,"Betis","Las Palmas",17,1
2018-04-19,"Levante","Malaga",11,10
2018-04-19,"Sociedad","Ath Madrid",12,9
2018-04-20,"Leganes","La Coruna",13,12
2018-04-21,"Celta","Valencia",10,17
2018-04-21,"Eibar","Getafe",12,7
2018-04-22,"Ath Madrid","Betis",10,10
2018-04-22,"Girona","Espanol",20,5
2018-04-22,"Las Palmas","Alaves",12,10
2018-04-22,"Malaga","Sociedad",4,14
2018-04-23,"Ath Bilbao","Levante",18,11
2018-04-27,"Levante","Sevilla",15,22
2018-04-28,"Espanol","Las Palmas",16,13
2018-04-28,"Real Madrid","Leganes",12,16
2018-04-28,"Sociedad","Ath Bilbao",17,9
2018-04-28,"Villarreal","Celta",13,15
2018-04-29,"Alaves","Ath Madrid",7,14
2018-04-29,"Getafe","Girona",10,15
2018-04-29,"La Coruna","Barcelona",17,21
2018-04-29,"Valencia","Eibar",16,8
2018-04-30,"Betis","Malaga",12,9
2018-05-04,"Sevilla","Sociedad",16,11
2018-05-05,"Ath Bilbao","Betis",14,6
2018-05-05,"Celta","La Coruna",13,11
2018-05-05,"Girona","Eibar",16,15
2018-05-05,"Villarreal","Valencia",13,6
2018-05-06,"Ath Madrid","Espanol",9,14
2018-05-06,"Barcelona","Real Madrid",11,17
2018-05-06,"Las Palmas","Getafe",21,8
2018-05-06,"Malaga","Alaves",16,13
2018-05-07,"Leganes","Levante",13,10
2018-05-09,"Barcelona","Villarreal",12,20
2018-05-09,"Sevilla","Real Madrid",14,14
2018-05-12,"Alaves","Ath Bilbao",4,13
2018-05-12,"Betis","Sevilla",9,13
2018-05-12,"Eibar","Las Palmas",10,8
2018-05-12,"Getafe","Ath Madrid",11,5
2018-05-12,"Girona","Valencia",16,10
2018-05-12,"La Coruna","Villarreal",16,11
2018-05-12,"Real Madrid","Celta",15,5
2018-05-12,"Sociedad","Leganes",11,9
2018-05-13,"Espanol","Malaga",19,9
2018-05-13,"Levante","Barcelona",12,18
2018-05-19,"Celta","Levante",20,7
2018-05-19,"Las Palmas","Girona",13,12
2018-05-19,"Leganes","Betis",8,16
2018-05-19,"Malaga","Getafe",6,11
2018-05-19,"Sevilla","Alaves",20,10
2018-05-19,"Villarreal","Real Madrid",14,15
2018-05-20,"Ath Bilbao","Espanol",12,11
2018-05-20,"Ath Madrid","Eibar",8,14
2018-05-20,"Barcelona","Sociedad",12,13
2018-05-20,"Valencia","La Coruna",22,12
2018-08-17,"Betis","Levante",22,6
2018-08-17,"Girona","Valladolid",13,2
2018-08-18,"Barcelona","Alaves",25,3
2018-08-18,"Celta","Espanol",12,14
2018-08-18,"Villarreal","Sociedad",16,8
2018-08-19,"Eibar","Huesca",18,8
2018-08-19,"Real Madrid","Getafe",10,4
2018-08-19,"Vallecano","Sevilla",13,17
2018-08-20,"Ath Bilbao","Leganes",17,12
2018-08-20,"Valencia","Ath Madrid",13,9
2018-08-24,"Getafe","Eibar",7,9
2018-08-24,"Leganes","Sociedad",18,7
2018-08-25,"Alaves","Betis",16,13
2018-08-25,"Ath Madrid","Vallecano",9,13
2018-08-25,"Valladolid","Barcelona",7,10
2018-08-26,"Espanol","Valencia",19,16
2018-08-26,"Girona","Real Madrid",10,20
2018-08-26,"Sevilla","Villarreal",19,14
2018-08-27,"Ath Bilbao","Huesca",14,9
2018-08-27,"Levante","Celta",15,21
2018-08-31,"Eibar","Sociedad",8,7
2018-08-31,"Getafe","Valladolid",12,7
2018-08-31,"Villarreal","Girona",13,14
2018-09-01,"Celta","Ath Madrid",10,9
2018-09-01,"Real Madrid","Leganes",17,8
2018-09-02,"Alaves","Espanol",8,11
2018-09-02,"Barcelona","Huesca",31,7
2018-09-02,"Betis","Sevilla",11,8
2018-09-02,"Levante","Valencia",13,18
2018-09-14,"Huesca","Vallecano",14,14
2018-09-15,"Ath Bilbao","Real Madrid",11,16
2018-09-15,"Ath Madrid","Eibar",18,12
2018-09-15,"Sociedad","Barcelona",8,12
2018-09-15,"Valencia","Betis",12,11
2018-09-16,"Espanol","Levante",22,16
2018-09-16,"Leganes","Villarreal",16,9
2018-09-16,"Sevilla","Getafe",15,10
2018-09-16,"Valladolid","Alaves",15,10
2018-09-17,"Girona","Celta",11,20
2018-09-21,"Huesca","Sociedad",13,7
2018-09-22,"Celta","Valladolid",12,14
2018-09-22,"Eibar","Leganes",14,4
2018-09-22,"Getafe","Ath Madrid",11,7
2018-09-22,"Real Madrid","Espanol",19,10
2018-09-22,"Vallecano","Alaves",13,11
2018-09-23,"Barcelona","Girona",22,7
